,name,ms-5-best dual,ms-5-best primal,ms-5-dual iter,ms-5-primal iter,ms-5-iter,prep-5-best dual,prep-5-best primal,prep-5-dual iter,prep-5-primal iter,prep-5-iter,ms-10-best dual,ms-10-best primal,ms-10-dual iter,ms-10-primal iter,ms-10-iter,prep-10-best dual,prep-10-best primal,prep-10-dual iter,prep-10-primal iter,prep-10-iter
50,Spd_RF2_60_71_1011.txt,4.65,12,1,1,405522,8.0,12,-1,1,194849,4.65,12,1,1,812189,8.0,12,-1,1,395808
51,Spd_RF2_60_71_1019.txt,5.837901,15,215031,11,394213,12.0,14,-1,6,209094,5.837901,15,215031,11,789993,12.0,14,-1,6,418707
52,Spd_RF2_60_71_1027.txt,5.525885,14,32,6,429940,10.0,13,-1,6,211670,5.525885,14,32,6,860605,10.0,13,-1,6,422806
53,Spd_RF2_60_71_1035.txt,4.861004,13,29,1,472103,9.0,13,-1,1,209702,4.861004,13,29,1,929763,9.0,13,-1,1,422718
54,Spd_RF2_60_71_1043.txt,5.944556,15,615,24,408959,14.0,15,-1,5,207180,5.944556,15,615,24,820194,14.0,15,-1,5,407207
55,Spd_RF2_60_83_1051.txt,3.107053,9,198923,694,370236,4.0,8,-1,101,181168,3.107053,9,198923,694,748199,4.0,8,-1,101,360948
56,Spd_RF2_60_83_1059.txt,2.825115,8,344700,94,382533,5.0,7,-1,53,199680,2.825115,8,344700,94,762121,5.0,7,-1,53,401563
57,Spd_RF2_60_83_1067.txt,3.183924,10,326923,41,371228,6.0,9,-1,2327,190623,3.186251,10,624726,41,748071,6.0,9,-1,2327,374885
58,Spd_RF2_60_83_1075.txt,4.061353,11,172998,82,372398,7.0,10,-1,124,191755,4.061353,11,172998,82,747240,7.0,10,-1,124,381707
59,Spd_RF2_60_83_1083.txt,3.015032,10,316608,6,375417,6.0,9,-1,47,193238,3.015032,10,316608,6,746413,6.0,9,-1,47,384794
60,Spd_RF2_60_95_1091.txt,2.42227,8,149665,404,343657,2.0,8,-1,31,176553,2.425385,8,347849,404,686089,2.0,8,-1,31,351852
61,Spd_RF2_60_95_1099.txt,2.059018,7,357558,11855,358057,2.0,6,-1,1168,180361,2.059018,7,357558,11855,725317,2.0,6,-1,1168,361195
62,Spd_RF2_60_95_1107.txt,1.361354,4,55522,55,359396,0.0,4,-1,44,179522,1.361354,4,55522,55,720686,0.0,4,-1,44,359354
63,Spd_RF2_60_95_1115.txt,2.10484,8,30188,297,374431,5.0,7,-1,66,181353,2.10484,8,30188,297,754969,5.0,7,-1,66,364869
64,Spd_RF2_60_95_1123.txt,1.691667,7,52989,473329,473330,2.0,6,-1,11563,180824,1.691667,7,52989,966223,966225,2.0,6,-1,11563,361824
65,Spd_RF2_60_107_1131.txt,1.144886,4,335777,2885,339030,0.541709,4,35006,10607,172629,1.144886,4,335777,2885,677717,0.541709,4,35006,10607,342328
66,Spd_RF2_60_107_1139.txt,1.398206,6,55872,9118,324999,2.0,6,-1,1147,164075,1.398206,6,55872,9118,664055,2.0,6,-1,1147,338527
67,Spd_RF2_60_107_1147.txt,1.109037,4,55923,78,326489,0.380306,4,69600,69,171221,1.122239,3,471939,439813,658526,0.380306,4,69600,69,343674
68,Spd_RF2_60_107_1155.txt,1.314142,6,97404,7964,384475,2.0,5,-1,157039,167749,1.314142,6,97404,7964,798904,2.0,5,-1,157039,339360
69,Spd_RF2_60_107_1163.txt,1.32898,5,281209,62570,337630,1.0,6,-1,221,174258,1.330144,5,346825,62570,676485,1.0,6,-1,221,344160
70,Spd_RF2_60_119_1171.txt,0.403349,6,112992,11330,316383,0.0,6,-1,20902,167400,0.404474,6,593238,11330,635149,0.0,5,-1,242878,328005
71,Spd_RF2_60_119_1179.txt,0.609573,4,127665,1857,312491,0.0,4,-1,15794,165858,0.615409,4,620339,1857,626081,0.0,4,-1,15794,329235
72,Spd_RF2_60_119_1187.txt,0.375664,2,124186,21363,346782,1.0,3,-1,30300,189125,0.375664,2,124186,21363,743335,1.0,3,-1,30300,383568
73,Spd_RF2_60_119_1195.txt,0.543204,5,44,40,319678,0.0,4,-1,76282,165412,0.550921,5,596292,40,631854,0.0,4,-1,76282,330913
74,Spd_RF2_60_119_1203.txt,0.747453,3,222288,51060,319120,0.0,4,-1,14913,166000,0.748746,3,348717,51060,633814,0.0,3,-1,215193,323832
75,Spd_RF2_80_93_1411.txt,7.209373,18,37735,4,292252,13.0,17,-1,8,203696,7.209373,18,37735,4,588480,13.0,17,-1,8,406435
76,Spd_RF2_80_93_1419.txt,7.518901,18,466,12,320805,13.0,17,-1,6,209782,7.518901,18,466,12,640425,13.0,17,-1,6,422094
77,Spd_RF2_80_93_1427.txt,7.527952,17,1741,246,321623,16.0,17,-1,73,227971,7.527952,17,1741,246,651961,16.0,17,-1,73,456012
78,Spd_RF2_80_93_1435.txt,7.442746,17,36207,41840,291492,12.0,17,-1,7,201370,7.442746,17,36207,41840,587191,12.0,17,-1,7,404054
79,Spd_RF2_80_93_1443.txt,7.770932,18,91873,68,275721,12.0,18,-1,4,214085,7.774448,18,438750,68,555760,12.0,18,-1,4,427431
80,Spd_RF2_80_106_1451.txt,4.744524,13,68473,3021,261096,5.0,12,-1,636,184741,4.744524,13,68473,3021,522141,5.0,12,-1,636,370661
81,Spd_RF2_80_106_1459.txt,4.923898,13,170200,3337,256970,10.0,12,-1,62,196383,4.924438,13,327256,3337,518510,10.0,12,-1,62,392415
82,Spd_RF2_80_106_1467.txt,5.107627,14,59349,33,259951,8.0,14,-1,37,195816,5.109675,14,496156,33,524841,8.0,14,-1,37,390989
83,Spd_RF2_80_106_1475.txt,4.982864,13,189186,5976,261509,10.0,12,-1,147,202089,4.983208,13,347866,5976,523036,10.0,12,-1,147,404128
84,Spd_RF2_80_106_1483.txt,5.0,15,9318,339412,339413,8.0,12,-1,69,192160,5.0,15,9318,684970,684971,8.0,12,-1,69,386568
85,Spd_RF2_80_120_1491.txt,3.311623,10,69845,56464,245419,4.0,9,-1,61,172293,3.311623,10,69845,56464,492626,4.0,9,-1,61,345306
86,Spd_RF2_80_120_1499.txt,3.019067,10,119974,637,252500,4.0,10,-1,53,174978,3.020924,10,507266,637,508972,4.0,10,-1,53,344365
87,Spd_RF2_80_120_1507.txt,3.151234,9,97720,3207,249306,5.0,8,-1,1401,180172,3.158867,9,375299,3207,494721,5.0,8,-1,1401,363464
88,Spd_RF2_80_120_1515.txt,3.930744,13,104812,9510,249923,5.0,11,-1,15892,179508,3.937736,13,431893,9510,497749,5.0,11,-1,15892,363286
89,Spd_RF2_80_120_1523.txt,3.499778,12,54222,33,258076,6.0,12,-1,13,193602,3.499778,12,54222,33,534120,6.0,12,-1,13,387952
90,Spd_RF2_80_133_1531.txt,2.489616,7,232330,189825,235834,1.0,7,-1,56685,166544,2.505606,7,284792,189825,472450,1.0,7,-1,56685,333904
91,Spd_RF2_80_133_1539.txt,2.144302,8,100371,373,232325,2.0,7,-1,273,166633,2.150677,7,312967,276194,463835,2.0,7,-1,273,333480
92,Spd_RF2_80_133_1547.txt,1.904262,5,115424,456,242483,1.13167,5,52893,6830,171856,1.907255,5,428130,456,486712,1.134828,5,206202,6830,341964
93,Spd_RF2_80_133_1555.txt,1.875579,5,235,189,243699,2.0,5,-1,215,171162,1.875579,5,235,189,488873,2.0,5,-1,215,340660
94,Spd_RF2_80_133_1563.txt,2.103257,10,56267,50088,231677,5.0,8,-1,134403,166572,2.103257,10,56267,50088,462579,5.0,8,-1,134403,335013
95,Spd_RF2_80_147_1571.txt,1.055604,4,197215,66859,226549,0.0,4,-1,78441,162555,1.057048,4,356641,66859,453464,0.0,4,-1,78441,327290
96,Spd_RF2_80_147_1579.txt,1.501977,4,112977,138908,230763,3.0,5,-1,3775,162023,1.501977,4,112977,346366,457726,3.0,5,-1,3775,325719
97,Spd_RF2_80_147_1587.txt,1.212845,6,168172,93447,221450,1.0,6,-1,7871,161595,1.215275,6,227274,93447,442939,1.0,6,-1,7871,324038
98,Spd_RF2_80_147_1595.txt,1.506663,5,148847,1192,224060,1.0,4,-1,194,168185,1.508558,5,287853,1192,445125,1.0,4,-1,194,332260
99,Spd_RF2_80_147_1603.txt,1.223946,6,113893,59707,225158,1.0,6,-1,93751,158280,1.226626,6,390690,59707,450896,1.0,6,-1,93751,318299
100,Spd_RF2_100_114_1811.txt,11.319329,27,146097,9857,229826,23.148893,26,38788,165,141824,11.319329,27,146097,9857,458092,23.148893,26,38788,165,282894
101,Spd_RF2_100_114_1819.txt,11.036636,24,136842,21,223703,20.310611,24,129,81,143828,11.036636,24,136842,21,454677,20.310611,24,129,81,289485
102,Spd_RF2_100_114_1827.txt,11.04945,24,135094,163849,220872,20.101156,23,55584,147,135148,11.061838,24,263303,163849,451886,20.101221,23,181936,147,278090
103,Spd_RF2_100_114_1835.txt,10.330527,25,23,13,240611,20.0,23,-1,9,149017,10.330527,25,23,13,480999,20.0,23,-1,9,295950
104,Spd_RF2_100_114_1843.txt,10.469865,26,20,4,241770,18.0,26,-1,7,142888,10.469865,26,20,4,484620,18.0,26,-1,7,284616
